Date,Open,High,Low,Close,Adj Close,Volume
2025-06-17,71.11,73.69,71,72.4,72.4,21430
2025-06-16,76.54,77.49,69.38,71.77,71.77,715652
2025-06-13,68.9,77.62,68.49,72.98,72.98,715652
2025-06-12,69.03,69.29,66.72,68.04,68.04,379394
2025-06-11,64.76,68.37,64.6,68.15,68.15,378473
2025-06-10,65.46,66.28,64.57,64.98,64.98,279021
2025-06-09,64.8,65.43,64.2,65.29,65.29,235900
2025-06-06,63.33,64.8,62.82,64.58,64.58,310133
2025-06-05,62.76,63.98,62.5,63.37,63.37,232423
2025-06-04,63.36,63.96,62.17,62.85,62.85,321128
2025-06-03,63.02,63.89,62.4,63.41,63.41,291260
2025-06-02,61.11,63.88,61.06,62.52,62.52,403580
2025-05-30,60.94,61.72,59.74,60.79,60.79,384927
2025-05-29,61.83,63.07,60.55,60.94,60.94,299859
2025-05-28,61.04,62.54,60.85,61.84,61.84,260374
2025-05-27,61.7,62.14,60.26,60.89,60.89,291317
2025-05-23,60.81,61.88,60.02,61.53,61.53,273392
2025-05-22,61.33,61.75,60.25,61.2,61.2,258549
2025-05-21,62.27,64.19,61.28,61.57,61.57,302702
2025-05-20,62.68,63.17,62.19,62.56,62.56,250414
2025-05-19,62.75,63.4,61.57,62.69,62.69,95570
2025-05-16,61.7,62.71,61.25,62.49,62.49,121556
2025-05-15,62.88,62.91,60.47,61.62,61.62,258404
2025-05-14,63.62,63.68,62.75,63.15,63.15,225626
2025-05-13,62,63.9,61.65,63.67,63.67,258795
2025-05-12,61.39,63.61,61.02,61.95,61.95,325865
2025-05-09,60.25,61.45,59.89,61.02,61.02,239640
2025-05-08,57.93,60.29,57.74,59.91,59.91,281000
2025-05-07,58.98,60.26,57.81,58.07,58.07,295238
2025-05-06,57.25,59.84,57.03,59.09,59.09,343893
2025-05-05,56.76,57.7,55.3,57.13,57.13,308387
2025-05-02,58.99,59.87,57.74,58.29,58.29,322096
2025-05-01,58.16,59.5,56.39,59.24,59.24,364216
2025-04-30,60.16,60.43,57.91,58.21,58.21,419549
2025-04-29,61.87,62.07,60.12,60.42,60.42,312373
2025-04-28,63.49,63.92,61.48,62.05,62.05,276116
2025-04-25,62.86,63.41,61.8,63.02,63.02,283758
2025-04-24,62.34,63.31,61.99,62.79,62.79,264908
2025-04-23,64,64.87,61.53,62.27,62.27,397841
2025-04-22,63.43,65.09,63.43,64.31,64.31,297928
2025-04-21,64.3,64.42,62.45,63.08,63.08,82671
2025-04-17,62.63,64.86,62.61,64.68,64.68,111479
2025-04-16,61.54,62.98,60.44,62.47,62.47,213194
2025-04-15,61.58,62.06,60.88,61.33,61.33,197404
2025-04-14,61.7,62.68,60.59,61.53,61.53,238068
2025-04-11,60.2,61.87,59.43,61.5,61.5,306231
2025-04-10,62.71,63.34,58.76,60.07,60.07,391826
2025-04-09,58.32,62.93,55.12,62.35,62.35,592250
2025-04-08,61.03,61.75,57.88,59.58,59.58,557655
2025-04-07,61.12,63.9,58.95,60.7,60.7,597617
2025-04-04,66.64,66.9,60.45,61.99,61.99,559638
2025-04-03,70.38,70.41,65.98,66.95,66.95,459238
2025-04-02,71.2,72.28,70.59,71.71,71.71,286501
2025-04-01,71.39,72.1,71.03,71.2,71.2,272832
2025-03-31,69.43,71.83,68.81,71.48,71.48,313087
2025-03-28,69.91,70.09,68.87,69.36,69.36,246650
2025-03-27,69.96,69.97,69.12,69.92,69.92,211825
2025-03-26,69.16,70.22,69.06,69.65,69.65,262413
2025-03-25,69.16,69.68,68.52,69,69,258411
2025-03-24,68.35,69.33,67.95,69.11,69.11,247024
2025-03-21,68.35,68.65,67.65,68.28,68.28,198964
2025-03-20,67.29,68.47,66.88,68.26,68.26,283376
2025-03-19,66.72,67.63,66.21,67.16,67.16,73077
2025-03-18,67.4,68.72,66.56,66.9,66.9,110338
2025-03-17,67.35,68.37,67.25,67.58,67.58,161298
2025-03-14,66.78,67.48,66.59,67.18,67.18,180495
2025-03-13,67.69,67.94,66.37,66.55,66.55,268590
2025-03-12,66.62,67.88,66.15,67.68,67.68,246675
2025-03-11,65.95,67.17,65.29,66.25,66.25,222511
2025-03-10,67.11,67.6,65.8,66.03,66.03,249633
2025-03-07,66.34,68.22,66.12,67.04,67.04,329710
2025-03-06,66.39,67.09,65.59,66.36,66.36,341632
2025-03-05,68.08,68.1,65.22,66.31,66.31,382493
2025-03-04,68.46,68.56,66.77,68.26,68.26,386750
2025-03-03,69.95,70.6,67.89,68.37,68.37,332751
2025-02-28,70.17,70.29,69.14,69.76,69.76,250074
2025-02-27,68.82,70.54,68.61,70.35,70.35,265933
2025-02-26,69.11,69.28,68.36,68.62,68.62,255601
2025-02-25,70.92,71.26,68.68,68.93,68.93,267310
2025-02-24,69.8,70.94,69.8,70.7,70.7,205468
2025-02-21,72.58,72.77,70.17,70.4,70.4,268470
2025-02-20,72.18,73.25,71.85,72.57,72.57,240060
2025-02-19,71.78,73.04,71.71,72.25,72.25,69012
2025-02-18,70.7,72.07,70.12,71.85,71.85,130937
2025-02-14,71.52,72.02,70.52,70.74,70.74,207719
2025-02-13,71.24,71.6,70.22,71.29,71.29,278197
2025-02-12,73.2,73.22,71.17,71.37,71.37,318123
2025-02-11,72.49,73.68,72.31,73.32,73.32,266819
2025-02-10,71,72.54,70.84,72.32,72.32,255941
2025-02-07,70.56,71.41,70.47,71,71,273766
2025-02-06,71.18,71.85,70.43,70.61,70.61,299037
2025-02-05,72.76,72.97,70.96,71.03,71.03,289902
2025-02-04,72.35,73.35,70.67,72.7,72.7,452961
2025-02-03,74.14,75.18,72.05,73.16,73.16,517853
2025-01-31,73.2,73.84,71.94,72.53,72.53,376335
2025-01-30,73,73.84,72.02,72.73,72.73,336475
2025-01-29,73.95,74.08,72.33,72.62,72.62,312733
2025-01-28,73.15,74.31,72.93,73.77,73.77,326075
2025-01-27,74.54,75.15,72.38,73.17,73.17,334418
2025-01-24,74.3,75.21,74.01,74.66,74.66,319679
2025-01-23,75.39,76,74.14,74.62,74.62,350688
2025-01-22,75.88,76.45,75.28,75.44,75.44,315333
2025-01-21,78.19,78.47,75.49,75.89,75.89,568807
2025-01-17,78.75,79.44,77.76,77.88,77.88,112409
2025-01-16,80.4,80.59,77.87,78.68,78.68,159948
2025-01-15,78.03,80.77,77.24,80.04,80.04,321422
2025-01-14,78.82,79.09,77.41,77.5,77.5,326729
2025-01-13,76.54,79.27,76.54,78.82,78.82,460942
2025-01-10,74.29,77.86,74.02,76.57,76.57,478432
2025-01-09,73.32,74.32,72.84,73.92,73.92,213421
