Date,Open,High,Low,Close,Adj Close,Volume
2025-06-13,3406.7,3468,3399.6,3452.6,3452.6,264252
2025-06-12,3363,3395.9,3353.4,3380.9,3380.9,1818
2025-06-11,3328,3356,3321.3,3321.3,3321.3,2106
2025-06-10,3302,3344.3,3302,3320.9,3320.9,65
2025-06-09,3315.6,3334.6,3290,3332.1,3332.1,1887
2025-06-06,3364.3,3364.3,3306,3322.7,3322.7,81
2025-06-05,3371.5,3400,3343.7,3350.7,3350.7,731
2025-06-04,3355,3380,3344,3373.5,3373.5,207
2025-06-03,3385.1,3390,3331.3,3350.2,3350.2,6410
2025-06-02,3296.9,3380.8,3296.9,3370.6,3370.6,976
2025-05-30,3315.1,3318,3270.9,3288.9,3288.9,2213
2025-05-29,3283.7,3328.8,3242.4,3317.1,3317.1,24370
2025-05-28,3293.6,3293.6,3293.6,3293.6,3293.6,127758
2025-05-27,3332.5,3341,3296.3,3299.1,3299.1,189
2025-05-23,3328,3363.6,3323.5,3363.6,3363.6,47
2025-05-22,3327.3,3328,3282.7,3292.3,3292.3,1210
2025-05-21,3293.4,3317.5,3290.2,3309.3,3309.3,979
2025-05-20,3219,3293.2,3207.5,3280.3,3280.3,356
2025-05-19,3234.4,3241,3228.3,3228.9,3228.9,266
2025-05-16,3227.7,3228.1,3173.9,3182,3182,199
2025-05-15,3151,3228.1,3125,3220.7,3220.7,652
2025-05-14,3233,3233,3171.7,3181.4,3181.4,3518
2025-05-13,3232,3251.4,3223.5,3240.3,3240.3,2424
2025-05-12,3300.7,3300.7,3205,3220,3220,886
2025-05-09,3299,3335.5,3299,3335.4,3335.4,216
2025-05-08,3390,3390,3288.7,3296.6,3296.6,200
2025-05-07,3418.7,3418.7,3364.7,3381.4,3381.4,1080
2025-05-06,3365.5,3430.9,3356.8,3411.4,3411.4,2357
2025-05-05,3242.7,3315.7,3239.7,3311.3,3311.3,244
2025-05-02,3239.9,3257,3225,3231.9,3231.9,1349
2025-05-01,3272.9,3275,3198.6,3210,3210,2131
2025-04-30,3318.7,3318.7,3268,3305,3305,207
2025-04-29,3340,3340,3299.9,3318.8,3318.8,1278
2025-04-28,3284.5,3332.5,3284.5,3332.5,3332.5,1300
2025-04-25,3355.5,3355.5,3266.1,3282.4,3282.4,162
2025-04-24,3305.4,3353.9,3304.9,3332,3332,560
2025-04-23,3321.2,3370.3,3256.2,3276.3,3276.3,331
2025-04-22,3422.2,3485.6,3361.7,3400.8,3400.8,785
2025-04-21,3342.2,3418.5,3342.2,3406.2,3406.2,78
2025-04-17,3345,3345,3287.8,3308.7,3308.7,824
2025-04-16,3238.3,3334.9,3238.3,3326.6,3326.6,1874
2025-04-15,3216,3218.7,3214,3218.7,3218.7,390
2025-04-14,3215.5,3228.8,3194.5,3204.8,3204.8,263
2025-04-11,3182.1,3235,3182.1,3222.2,3222.2,862
2025-04-10,3073.9,3167,3072.1,3155.2,3155.2,3456
2025-04-09,2965.8,3090.4,2965.8,3056.5,3056.5,2175
2025-04-08,2994,3014.5,2968.4,2968.4,2968.4,3213
2025-04-07,3016.4,3050.8,2949.7,2951.3,2951.3,4424
2025-04-04,3110.5,3127.7,3011,3012,3012,3247
2025-04-03,3150,3166.9,3052,3097,3097,5516
2025-04-02,3120.7,3168.6,3117.4,3139.9,3139.9,5946
2025-04-01,3129.7,3149.5,3104,3118.9,3118.9,1721
2025-03-31,3091,3132.5,3086,3122.8,3122.8,3438
2025-03-28,3069.7,3094.9,3066.8,3086.5,3086.5,31206
2025-03-27,3025.5,3065,3025.5,3060.2,3060.2,124359
2025-03-26,3033.2,3033.2,3019.5,3020.9,3020.9,83
2025-03-25,3026.4,3028.8,3023.7,3023.7,3023.7,74
2025-03-24,3024.3,3024.3,3006,3013.1,3013.1,137
2025-03-21,3034.5,3037.5,3000.9,3018.2,3018.2,151
2025-03-20,3047.3,3047.3,3034.4,3040,3040,185
2025-03-19,3035.2,3050.9,3030.9,3035.9,3035.9,175
2025-03-18,3006.4,3039.2,3004.4,3035.1,3035.1,428
2025-03-17,2991,3001.5,2989,3000,3000,214
2025-03-14,2994.4,3004.8,2986,2994.5,2994.5,1800
2025-03-13,2937.1,2988,2935.2,2984.3,2984.3,2366
2025-03-12,2912,2939.1,2910,2939.1,2939.1,213
2025-03-11,2884.4,2916.7,2880.4,2912.9,2912.9,197
2025-03-10,2910.1,2915.1,2880.2,2891,2891,55
2025-03-07,2900.9,2927.3,2900.5,2904.7,2904.7,531
2025-03-06,2904,2918.6,2903.8,2916.6,2916.6,870
2025-03-05,2916.7,2922,2893,2915.3,2915.3,551
2025-03-04,2886.1,2927.9,2886.1,2909.6,2909.6,885
2025-03-03,2872.7,2891.8,2863.4,2890.2,2890.2,423
2025-02-28,2877.1,2877.1,2834.1,2836.8,2836.8,990
2025-02-27,2918.5,2922.8,2870.4,2883.2,2883.2,3215
2025-02-26,2913.5,2917,2913,2916.8,2916.8,2050
2025-02-25,2938.7,2943.2,2890,2904.5,2904.5,1854
2025-02-24,2933.1,2957.9,2933.1,2947.9,2947.9,415
2025-02-21,2938.8,2940,2917.3,2937.6,2937.6,570
2025-02-20,2949.1,2955.8,2924.2,2940,2940,656
2025-02-19,2938.7,2946,2917.1,2919.4,2919.4,2630
2025-02-18,2879.2,2936.4,2873.8,2931.6,2931.6,4010
2025-02-14,2937.3,2944.4,2874.8,2883.6,2883.6,1992
2025-02-13,2911.3,2937.7,2910.6,2925.9,2925.9,4670
2025-02-12,2902,2912.3,2868.6,2909,2909,2504
2025-02-11,2925.5,2945.4,2890,2912.5,2912.5,2554
2025-02-10,2864.2,2916.1,2863.8,2914.3,2914.3,2237
2025-02-07,2859.9,2889.5,2857.8,2867.3,2867.3,1822
2025-02-06,2865.2,2871.7,2836.3,2856,2856,3116
2025-02-05,2850,2880.5,2848,2871.6,2871.6,4519
2025-02-04,2827.6,2853.3,2816.1,2853.3,2853.3,2187
2025-02-03,2818.2,2848.4,2780.9,2833.9,2833.9,2649
2025-01-31,2829,2838,2804,2812.5,2812.5,3443
2025-01-30,2772.5,2829.5,2770,2823,2823,40141
2025-01-29,2769.1,2769.1,2769.1,2769.1,2769.1,125692
2025-01-28,2738,2766.8,2738,2766.8,2766.8,2307
2025-01-27,2761.1,2762.2,2737.5,2737.5,2737.5,984
2025-01-24,2759.8,2792,2759.8,2777.3,2777.3,1593
2025-01-23,2760,2765,2745.4,2763.1,2763.1,2201
2025-01-22,2754.5,2768.8,2753.5,2767.6,2767.6,2079
2025-01-21,2746,2755,2724.8,2755,2755,1439
2025-01-17,2736,2751.6,2725.5,2744.3,2744.3,1214
2025-01-16,2731.7,2749.8,2731.7,2746.4,2746.4,1721
2025-01-15,2690.8,2712.5,2690.8,2712.5,2712.5,930
2025-01-14,2673.6,2688.3,2670.8,2677.5,2677.5,794
2025-01-13,2711.1,2711.2,2673.5,2673.5,2673.5,765
2025-01-10,2686.1,2720.1,2683.7,2708.5,2708.5,403
2025-01-09,2669.7,2686.3,2667.9,2683.8,2683.8,1139
2025-01-08,2655.5,2676.9,2653.5,2664.5,2664.5,999
2025-01-07,2653.4,2657.5,2653,2656.7,2656.7,643
2025-01-06,2645.5,2647,2617.3,2638.4,2638.4,960
2025-01-03,2658.7,2658.7,2641.8,2645,2645,591
2025-01-02,2633,2663.1,2633,2658.9,2658.9,1728
2024-12-31,2608.4,2629.2,2604.9,2629.2,2629.2,401
2024-12-30,2620.7,2626.9,2597,2606.1,2606.1,794
