Date,Open,High,Low,Close,Adj Close,Volume
2025-06-20,3368.405,3374.51,3340.47,3371.393,,
2025-06-18,3390.076,3400.04,3362.76,3370.316,,
2025-06-17,3386.616,3403.37,3366.29,3389.486,,
2025-06-16,3433,3452.5,3382.98,3385.296,,
2025-06-13,3385.666,3446.79,3379.79,3433.35,,
2025-06-12,3356.52,3398.98,3338.7,3385.716,,
2025-06-11,3322.907,3360.7,3315.71,3357.172,,
2025-06-10,3324.97,3349.17,3302.04,3322.72,,
2025-06-09,3309.47,3338.2,3293.69,3324.97,,
2025-06-06,3353.46,3375.64,3307.13,3309.25,,
2025-06-05,3374.25,3403.44,3339.53,3353.867,,
2025-06-04,3353.65,3384.72,3343.92,3374.25,,
2025-06-03,3381.666,3392.1,3333.21,3353.345,,
2025-06-02,3289.08,3382.89,3289.08,3382.716,,
2025-05-30,3317.917,3322.7,3271.76,3288.58,,
2025-05-29,3288.017,3331.11,3245.46,3317.19,,
2025-05-28,3300.567,3325.51,3276.922,3287.967,,
2025-05-27,3342.827,3350.03,3285.26,3300.617,,
2025-05-23,3294.42,3365.93,3287.23,3357.519,,
2025-05-22,3316.776,3345.4,3279.23,3294.667,,
2025-05-21,3290.02,3324.91,3285.606,3316.796,,
2025-05-20,3229.857,3295.72,3204.72,3290.267,,
2025-05-19,3202.82,3249.83,3202.82,3230.01,,
2025-05-16,3239.54,3252.05,3154.4,3201.78,,
2025-05-15,3177.46,3240.55,3120.985,3239.798,,
2025-05-14,3249.52,3257.08,3168.15,3176.58,,
2025-05-13,3236.048,3265.51,3216.06,3249.52,,
2025-05-12,3324.44,3326.46,3207.956,3236.048,,
2025-05-09,3304.067,3347.59,3274.927,3326.46,,
2025-05-08,3365.17,3414.706,3288.93,3304.067,,
2025-05-07,3436.335,3438.133,3360.26,3365.19,,
2025-05-06,3336.087,3437.026,3323.31,3437.026,,
2025-05-05,3240.61,3337.59,3237.63,3335.987,,
2025-05-02,3238,3269.27,3222.94,3240.61,,
2025-05-01,3288.57,3290.42,3202.033,3238.837,,
2025-04-30,3313,3328.03,3267.02,3288.57,,
2025-04-29,3343.817,3348.65,3299.72,3316.89,,
2025-04-28,3318.62,3353.04,3268.12,3343.875,,
2025-04-25,3349.516,3370.793,3265.34,3318.76,,
2025-04-24,3287.62,3367.533,3287.62,3348.836,,
2025-04-23,3354.243,3386.64,3260.283,3287.94,,
2025-04-22,3423.39,3500.12,3366.9,3379.37,,
2025-04-21,3333.33,3430.67,3329.117,3423.846,,
2025-04-17,3342.36,3357.92,3284.09,3326.83,,
2025-04-16,3229.53,3343.185,3229.53,3340.03,,
2025-04-15,3210.657,3233.75,3210.23,3229.53,,
2025-04-14,3238.07,3245.73,3193.67,3210.657,,
2025-04-11,3175.798,3245.45,3175.32,3236.68,,
2025-04-10,3081.92,3176.4,3071.59,3175.37,,
2025-04-09,2982.2,3099.72,2970.124,3082,,
2025-04-08,2981.57,3022.696,2974.854,2982.16,,
2025-04-07,3037.31,3055.7,2956.66,2980.8,,
2025-04-04,3113.998,3136.83,3015.88,3037.31,,
2025-04-03,3138.869,3167.74,3054.26,3114.28,,
2025-04-02,3113.398,3144.23,3105.04,3138.238,,
2025-04-01,3122.298,3149.03,3101.022,3113.397,,
2025-03-31,3084.98,3127.915,3076.98,3122.97,,
2025-03-28,3056.16,3086.9,3054.36,3084.33,,
2025-03-27,3018.339,3059.77,3017.76,3055.698,,
2025-03-26,3019.01,3032.09,3012.41,3019.08,,
2025-03-25,3011,3036.11,3007.64,3019.82,,
2025-03-24,3023.17,3033.32,3002.53,3011,,
2025-03-21,3043.49,3047.51,2999.54,3022.79,,
2025-03-20,3047.16,3057.51,3025.77,3044.41,,
2025-03-19,3033.599,3052.1,3023,3048.88,,
2025-03-18,3000.83,3038.31,2999.48,3034.34,,
2025-03-17,2984.48,3001.95,2982.36,3000.74,,
2025-03-14,2988.698,3004.94,2978.62,2984.02,,
2025-03-13,2933.84,2989.3,2933.03,2988.698,,
2025-03-12,2915.53,2940.5,2906.19,2933.9,,
2025-03-11,2888.341,2922.22,2880.4,2915.46,,
2025-03-10,2911.06,2918.32,2880.27,2888.37,,
2025-03-07,2911.951,2930.383,2896.94,2909.355,,
2025-03-06,2918.9,2926.6,2891.41,2910.99,,
2025-03-05,2917.4,2929.87,2894.42,2918.9,,
2025-03-04,2891.801,2927.76,2882.05,2916.625,,
2025-03-03,2857.09,2895.27,2855.849,2891.43,,
2025-02-28,2876.66,2885.13,2832.77,2856.998,,
2025-02-27,2916.03,2920.697,2867.922,2876.485,,
2025-02-26,2914.52,2930.106,2890.89,2916.025,,
2025-02-25,2952.28,2953.58,2888.42,2914.52,,
2025-02-24,2935.49,2956.15,2921.55,2952.725,,
2025-02-21,2938.359,2949.81,2916.89,2934.955,,
2025-02-20,2932.659,2954.944,2924.24,2938.995,,
2025-02-19,2935.53,2946.99,2918.71,2933.15,,
2025-02-18,2898.351,2936.97,2892.15,2935.53,,
2025-02-14,2929.22,2940.02,2877.09,2882.085,,
2025-02-13,2903.86,2929.54,2900.62,2927.305,,
2025-02-12,2896.571,2909.19,2864.263,2903.975,,
2025-02-11,2907.55,2942.71,2881.89,2897.23,,
2025-02-10,2860.09,2911.85,2854.67,2907.55,,
2025-02-07,2855.51,2886.83,2852.6,2860.09,,
