Date,Open,High,Low,Close,Adj Close,Volume
2025-06-17,4.43,4.444,4.422,4.442,,
2025-06-16,4.42,4.462,4.403,4.45,,
2025-06-13,4.332,4.448,4.316,4.409,,
2025-06-12,4.414,4.42,4.343,4.365,,
2025-06-11,4.464,4.506,4.406,4.42,,
2025-06-10,4.48,4.49,4.44,4.474,,
2025-06-09,4.51,4.518,4.47,4.476,,
2025-06-06,4.395,4.514,4.375,4.508,,
2025-06-05,4.363,4.402,4.32,4.391,,
2025-06-04,4.446,4.468,4.349,4.357,,
2025-06-03,4.448,4.474,4.406,4.458,,
2025-06-02,4.418,4.47,4.41,4.442,,
2025-05-30,4.426,4.442,4.387,4.398,,
2025-05-29,4.509,4.539,4.418,4.426,,
2025-05-28,4.454,4.501,4.438,4.475,,
2025-05-27,4.499,4.505,4.428,4.448,,
2025-05-23,4.533,4.541,4.448,4.509,,
2025-05-22,4.603,4.627,4.529,4.529,,
2025-05-21,4.517,4.609,4.507,4.597,,
2025-05-20,4.455,4.525,4.43,4.485,,
2025-05-19,4.477,4.564,4.445,4.449,,
2025-05-16,4.437,4.497,4.39,4.445,,
2025-05-15,4.546,4.548,4.43,4.431,,
2025-05-14,4.479,4.544,4.447,4.542,,
2025-05-13,4.461,4.505,4.426,4.471,,
2025-05-12,4.412,4.479,4.402,4.473,,
2025-05-09,4.38,4.398,4.345,4.382,,
2025-05-08,4.275,4.398,4.269,4.38,,
2025-05-07,4.32,4.335,4.262,4.269,,
2025-05-06,4.347,4.378,4.297,4.298,,
2025-05-05,4.314,4.371,4.289,4.349,,
2025-05-02,4.212,4.332,4.196,4.308,,
2025-05-01,4.181,4.241,4.124,4.216,,
2025-04-30,4.166,4.227,4.135,4.168,,
2025-04-29,4.218,4.247,4.164,4.172,,
2025-04-28,4.241,4.295,4.204,4.206,,
2025-04-25,4.321,4.33,4.235,4.255,,
2025-04-24,4.364,4.371,4.305,4.315,,
2025-04-23,4.356,4.399,4.259,4.385,,
2025-04-22,4.405,4.438,4.371,4.401,,
2025-04-21,4.344,4.418,4.333,4.417,,
2025-04-17,4.29,4.342,4.278,4.333,,
2025-04-16,4.321,4.352,4.263,4.281,,
2025-04-15,4.388,4.407,4.308,4.339,,
2025-04-14,4.48,4.489,4.36,4.384,,
2025-04-11,4.474,4.59,4.386,4.497,,
2025-04-10,4.318,4.431,4.26,4.425,,
2025-04-09,4.353,4.513,4.301,4.328,,
2025-04-08,4.187,4.304,4.126,4.291,,
2025-04-07,3.897,4.226,3.884,4.203,,
2025-04-04,4.039,4.041,3.86,4,,
2025-04-03,4.061,4.1,4.002,4.038,,
2025-04-02,4.194,4.236,4.112,4.127,,
2025-04-01,4.215,4.217,4.133,4.161,,
2025-03-31,4.203,4.257,4.184,4.211,,
2025-03-28,4.354,4.359,4.249,4.251,,
2025-03-27,4.344,4.4,4.342,4.361,,
2025-03-26,4.329,4.362,4.315,4.354,,
2025-03-25,4.335,4.369,4.3,4.317,,
2025-03-24,4.269,4.34,4.269,4.338,,
2025-03-21,4.235,4.256,4.202,4.25,,
2025-03-20,4.241,4.25,4.174,4.241,,
2025-03-19,4.293,4.323,4.243,4.247,,
2025-03-18,4.3,4.339,4.268,4.285,,
2025-03-17,4.297,4.331,4.258,4.299,,
2025-03-14,4.278,4.324,4.278,4.32,,
2025-03-13,4.314,4.353,4.259,4.27,,
